name,cuisines,area,averagecost,dinner ratings,cluster
New Punjabi Hotel,"North Indian, Chinese","Indiranagar, Bangalore",400,3.6,0
Cupcake Bliss Cakes & Desserts,"Bakery, Desserts","Indiranagar, Bangalore",300,,0
Kailash Parbat,"Chinese, North Indian, Street Food, Fast Food, Desserts, Beverages","Indiranagar, Bangalore",1100,3.3,2
EasyBites by Empire,"Burger, Fast Food, Beverages","Brigade Road, Bangalore",100,,0
Kaati Zone Rolls And Wraps,"Rolls, Sandwich","Indiranagar, Bangalore",150,,3
7 Plates,"North Indian, Mughlai, Rolls, Chinese","Frazer Town, Bangalore",200,,0
Hotel Navayuga,"Andhra, Biryani","Majestic, Bangalore",300,4.2,4
Siddique Kabab Centre,"Mughlai, Chinese, North Indian, Rolls","Frazer Town, Bangalore",400,4.0,4
Auntie Fung's,"Asian, Thai, Vietnamese, Japanese, Indonesian, Chinese, Korean, Burmese","Indiranagar, Bangalore",300,,3
Moriz Nano Restaurant,"North Indian, Chinese, Arabian, Mughlai, Fast Food, Beverages, Shake","Ulsoor, Bangalore",700,3.2,2
Biryani Day,"North Indian, Chinese, Biryani","Marathahalli, Bangalore",700,3.9,4
Five Star Chicken & Koli Hut,"Fast Food, Kebab, Chettinad","CV Raman Nagar, Bangalore",300,3.5,0
Just Bake,"Bakery, Desserts, Fast Food","Marathahalli, Bangalore",350,3.0,2
Zaatar,"BBQ, Arabian, Salad, Chinese, North Indian, Mughlai, Desserts, Beverages","Old Madras Road, Bangalore",1000,4.1,4
Malabar Hotel,"Kerala, Chinese, North Indian","Kaggadasapura, Bangalore",350,3.8,0
Ammas Donne Biriyani House,Biryani,"Indiranagar, Bangalore",100,,3
Tawakkal Mubarak Hotel,"Mughlai, Biryani","Old Airport Road, Bangalore",350,3.0,2
The Red Box,"Chinese, Thai","Indiranagar, Bangalore",250,,0
Biryani Blues,"Biryani, Kebab, Hyderabadi","Church Street, Bangalore",250,,3
Aubree,"Fast Food, Italian, Thai","MG Road, Bangalore",900,3.4,2
The Pizza Bakery - Brew & Eatery,"Pizza, Pasta, Italian, Continental, Fast Food, Salad, Desserts, Beverages","Indiranagar, Bangalore",800,4.6,4
Momoz,"Chinese, Momos, Burger","Jeevan Bhima Nagar, Bangalore",200,,0
The Dessert Zone,"Desserts, Bakery","Domlur, Bangalore",200,,3
Nando's,"Fast Food, Burger, Portuguese","Indiranagar, Bangalore",800,4.5,4
Chef Bakers,"Bakery, Fast Food, Pizza, Sandwich, Burger, Desserts","Marathahalli, Bangalore",400,,0
Bhartiya Jalpan,"North Indian, Street Food, Desserts, Beverages","Indiranagar, Bangalore",350,4.1,4
Mainland China,"Chinese, Asian, Seafood, Beverages","Church Street, Bangalore",1800,4.4,1
Hyderabad Chefs,"Andhra, North Indian, Chinese, Biryani","KBR Mall, Marathahalli, Bangalore",650,4.2,4
Toscano,"Italian, Pizza, Salad, Continental, Desserts, Beverages","Church Street, Bangalore",1200,2.9,2
Tomba Kitchens,"Naga, Chinese, Beverages","Ejipura, Bangalore",300,3.9,4
NH8,"Rajasthani, North Indian","Indiranagar, Bangalore",800,4.3,4
Chaatimes,Street Food,"Indiranagar, Bangalore",100,,0
Chichaba's Taj,"North Indian, Chinese, Desserts","Frazer Town, Bangalore",800,4.0,4
Lo! - Low Carb and Keto Foods,"Healthy Food, North Indian, Fast Food, Desserts","Domlur, Bangalore",150,,3
Sweet Truth - Cake and Desserts,Bakery,"Indiranagar, Bangalore",250,,3
Restaurant Chef Pillai,"South Indian, Seafood, Biryani","Whitefield, Bangalore",800,3.6,4
Venus Biryani,"Biryani, Chettinad","Domlur, Bangalore",300,2.9,2
Suchithra Biryani House,"Biryani, Andhra, North Indian, Chinese, Mughlai","Old Airport Road, Bangalore",800,3.9,4
Cafe Coffee Day,"Coffee, Fast Food, Desserts, Beverages","Indiranagar, Bangalore",600,3.1,2
Burnout Cafe,"Fast Food, Continental, Beverages, Desserts","Infantry Road, Bangalore",700,3.9,4
Apsara Ice Creams,"Ice Cream, Desserts","Indiranagar, Bangalore",400,4.3,4
Momo Zone - The Momo Company,"Momos, Fast Food","Domlur, Bangalore",150,,3
WOW! China,"Chinese, Rolls, Desserts, Shake","Church Street, Bangalore",600,3.8,4
Sendhoor Coffee,"Beverages, Street Food","Jeevan Bhima Nagar, Bangalore",200,4.1,0
Sri Venkateshwara Sweetmeat Stall,"Mithai, Street Food, Fast Food, North Indian","Majestic, Bangalore",400,4.0,4
KC Das - Sweet Bite,"Mithai, Street Food","Frazer Town, Bangalore",300,3.6,0
Chung Wah,"Chinese, Thai, Vietnamese","Residency Road, Bangalore",800,4.0,4
Srinidhi Veg Food Court,"South Indian, North Indian, Chinese, Fast Food, Street Food, Desserts, Beverages","Kalyan Nagar, Bangalore",300,3.8,0
Sri Srinivas Pork Hotel,Fast Food,"Ejipura, Bangalore",200,3.5,0
Momo Monk,Momos,"Jeevan Bhima Nagar, Bangalore",150,,0
Cream Stone,"Ice Cream, Desserts, Beverages, Shake","Domlur, Bangalore",150,,3
TrueCakes,Bakery,"Kammanahalli, Bangalore",300,,0
Paratha Box - 2X Filling,"North Indian, Beverages","Indiranagar, Bangalore",150,,3
Sri Banashankari Donne Biriyani,"Biryani, South Indian, Seafood","Banaswadi, Bangalore",300,3.6,0
BigBites,"Momos, Fast Food","Indiranagar, Bangalore",200,,3
Hamza Hotel,"North Indian, Chinese, Mughlai, Biryani","Shivajinagar, Bangalore",650,3.9,4
The Thick Shake Factory,"Beverages, Shake","Indiranagar, Bangalore",250,,0
Zomoz - The Momo Company,"Momos, Fast Food","Indiranagar, Bangalore",200,,3
Home Plate by EatFit,"North Indian, Beverages","Indiranagar, Bangalore",150,,3
Juicy,"Beverages, Juices, Desserts, Sandwich, Fast Food, Shake","Old Airport Road, Bangalore",400,4.0,4
Third Wave Coffee,"Fast Food, Beverages","Indiranagar, Bangalore",400,4.1,4
The Bengal Club,"Bengali, Biryani, Rolls","Domlur, Bangalore",200,,0
Srinidhi Sagar,"South Indian, North Indian, Chinese, Street Food, Shake","Old Airport Road, Bangalore",300,3.8,0
Saapaad,"South Indian, Biryani, Beverages","Koramangala 6th Block, Bangalore",350,4.1,4
Sri Ganesh Juice Junction,"Beverages, Juices, Fast Food, Shake","Koramangala 5th Block, Bangalore",50,,0
Bowl 99,"North Indian, Mughlai, Desserts","Thippasandra, Bangalore",300,,3
Preethi's Biryani Hub,"Biryani, South Indian, Beverages","Whitefield, Bangalore",300,,0
Gramin,"North Indian, Healthy Food, Beverages, Shake","Koramangala 7th Block, Bangalore",1000,4.3,1
Karama Restaurant,"Arabian, Mughlai, Seafood, North Indian, Biryani, Shake","Frazer Town, Bangalore",750,4.2,4
Hyderabadi Biryani Utsav,"Biryani, Hyderabadi, North Indian, Chinese","Old Madras Road, Bangalore",500,3.8,4
Daily Sushi,"Japanese, Korean, Sushi, Asian","Old Madras Road, Bangalore",200,,3
SLAY Coffee,"Beverages, Coffee","Indiranagar, Bangalore",150,,3
Sreeraj Lassi Bar,"Beverages, Shake, Ice Cream, Desserts","Commercial Street, Bangalore",300,3.8,0
New Taj Darbar,"North Indian, Chinese, Mughlai","Shivajinagar, Bangalore",300,2.5,2
The Filter Coffee,"South Indian, Coffee","Kalyan Nagar, Bangalore",300,4.3,4
Donne Biriyanis Junction,"Biryani, South Indian","Kammanahalli, Bangalore",200,,0
Taste Of Tibet,"Chinese, Street Food, Momos","Brigade Road, Bangalore",400,4.0,4
Main Lassi Shop,"Beverages, Ice Cream, Juices, Fast Food, Street Food, Sandwich, Shake","Shivajinagar, Bangalore",150,,0
Grow Fit,"Healthy Food, North Indian, Thai, Desserts, Beverages","Koramangala 6th Block, Bangalore",250,,3
Calcutta Victoria Chat House,"North Indian, Street Food, Desserts, Beverages","Jeevan Bhima Nagar, Bangalore",200,3.1,2
Milano Ice Cream,"Desserts, Ice Cream, Beverages, Shake","Indiranagar, Bangalore",400,4.9,4
Kanti Bakes & Flakes,"Bakery, Desserts, Mithai","Old Madras Road, Bangalore",50,,0
Kabab Biryani Corner,"North Indian, South Indian, Chinese","Richmond Road, Bangalore",450,3.2,2
Khichdi Express,North Indian,"Indiranagar, Bangalore",150,,0
Kunafa World,Desserts,"Frazer Town, Bangalore",400,3.9,4
Mane Holige,Mithai,"Koramangala 6th Block, Bangalore",200,,0
Cafe Grill,"Chinese, North Indian, Rolls","Jeevan Bhima Nagar, Bangalore",300,4.1,4
Manjit Da Dhaba,"North Indian, Desserts","Frazer Town, Bangalore",200,4.5,4
FB Cakes,"Bakery, Desserts","BTM, Bangalore",150,,0
Maven Kitchen,"Chinese, North Eastern, Beverages","Ejipura, Bangalore",500,3.8,4
Sree Krishna Kafe,"South Indian, Beverages","Koramangala 5th Block, Bangalore",350,4.4,4
Indiana Burgers,Burger,"Indiranagar, Bangalore",200,,3
Mother's Meal,"North Indian, Chinese","CV Raman Nagar, Bangalore",300,4.0,4
Punjabi Chaap Corner,"North Indian, Chinese, Fast Food","Indiranagar, Bangalore",650,4.0,4
Spicy Corner,"Rolls, Chinese, North Indian","Jeevan Bhima Nagar, Bangalore",100,,0
Srinathji's,"North Indian, Chinese, Pizza, Street Food, Beverages, Fast Food, Desserts","Indiranagar, Bangalore",800,3.7,4
No.10 Fort Cochin,"Seafood, Kerala, Biryani","St. Marks Road, Bangalore",800,3.8,4
Oh! Calcutta,"Bengali, Seafood, North Indian, Biryani, Finger Food","Church Street, Bangalore",1500,4.4,1
Shiv Sagar,"South Indian, North Indian, Oriental, Street Food, Desserts, Beverages, Shake","Banaswadi, Bangalore",300,3.3,2
Bombay Kulfi,"Ice Cream, Desserts","Banaswadi, Bangalore",300,,0
Khan Saheb Grills and Rolls,"North Indian, Rolls, Kebab, Mughlai, Biryani, Beverages","Indiranagar, Bangalore",500,4.2,4
The Brooklyn Creamery - Healthy Ice Cream,Ice Cream,"Indiranagar, Bangalore",200,,3
Mealful Rolls - Meals In A Roll,"Rolls, Fast Food","Indiranagar, Bangalore",200,,3
The Salad Studio,"Salad, Healthy Food","Indiranagar, Bangalore",400,2.9,2
Brik Oven,"Cafe, Fast Food, Italian, Desserts, Beverages","Indiranagar, Bangalore",1000,4.3,1
Arun Ice Creams,"Ice Cream, Desserts","Shivajinagar, Bangalore",50,,0
Raghavendra Tiffin,"Chinese, South Indian","Koramangala 1st Block, Bangalore",250,4.4,4
Maharaja Military Canteen,South Indian,"Cunningham Road, Bangalore",200,,3
Have More,"North Indian, Chinese, Beverages","Kammanahalli, Bangalore",700,3.9,4
Firangi Bake,"Italian, Mexican, Desserts","Indiranagar, Bangalore",250,,3
Savitha Family Restaurant,"North Indian, Chinese, Seafood, Beverages, Desserts, Mughlai","Koramangala 4th Block, Bangalore",500,3.7,4
Chaitra Restaurant,"North Indian, Chinese, Andhra, Biryani, Seafood, Fast Food","Kalyan Nagar, Bangalore",500,3.4,2
Natraj Chole Bhature,North Indian,"Indiranagar, Bangalore",200,3.9,0
