name,cuisines,area,averagecost,dinner ratings,cluster
Tharavadu Malabar Biryani,"Kerala, Biryani, South Indian, North Indian, Seafood","JP Nagar, Bangalore",150,,3
Basmati Biriyani Nation,"Biryani, Mughlai, Fast Food, Desserts","JP Nagar, Bangalore",200,,0
Hungry Chang,"Chinese, Fast Food","JP Nagar, Bangalore",200,,0
Rajdhani,"Gujarati, North Indian","Royal Meenakshi Mall, Bannerghatta Road, Bangalore",1000,4.0,4
Rotti Mane,South Indian,"Bannerghatta Road, Bangalore",200,,0
The Parotta Combo,"South Indian, Desserts","JP Nagar, Bangalore",150,,3
Imperio Combo King,North Indian,"JP Nagar, Bangalore",200,,3
Bowl 99,"North Indian, South Indian","BTM, Bangalore",300,,3
Rotti Mane,South Indian,"Bannerghatta Road, Bangalore",250,,0
Punjabites By Empire,"North Indian, Mughlai, Biryani, Desserts, Beverages","JP Nagar, Bangalore",200,,0
Dande's Hyderabad Biryani,"Andhra, North Indian, Chinese","JP Nagar, Bangalore",200,,0
Basmati Express,"Chettinad, North Indian","JP Nagar, Bangalore",150,,3
Voosh Thalis & Bowls,North Indian,"BTM, Bangalore",200,,3
Desi Curry Asli Desi Swaad,"North Indian, Desserts","JP Nagar, Bangalore",200,,0
Shettys Red,"Mangalorean, Seafood, North Indian","Banashankari, Bangalore",350,,0
Chow Panda By Big Pitcher,"North Indian, Fast Food, South American, Italian, Desserts","JP Nagar, Bangalore",250,,3
Nammura Donne Biriyani,"Biryani, South Indian","BTM, Bangalore",400,3.3,2
Tasty Bites,"North Indian, Chinese, Desserts, Beverages","JP Nagar, Bangalore",200,3.9,0
Masala Darbar By Big Pitcher,"North Indian, Mughlai, Biryani, Desserts","JP Nagar, Bangalore",200,,3
Basava Hotel,South Indian,"BTM, Bangalore",100,,0
Guntur Ruchulu,"Andhra, North Indian, South Indian, Chinese, Mughlai","Jayanagar, Bangalore",300,,0
Schezwan Hub,Chinese,"JP Nagar, Bangalore",200,,3
Andhra Kitchen,"Andhra, Biryani","Bommanahalli, Bangalore",50,,0
Donne Biryani Corner,South Indian,"Kumaraswamy Layout, Bangalore",300,3.8,0
Donne Biriyani Palace,"Biryani, North Indian","Bannerghatta Road, Bangalore",300,3.6,0
Thalassery Restaurant,"Kerala, North Indian, Arabian, Seafood, Chinese, Beverages, Shake","Sarjapur Road, Bangalore",650,2.6,2
Biryani Blues,"Biryani, Kebab, Hyderabadi","Sarjapur Road, Bangalore",250,,3
McDonald's,"Burger, Beverages, Fast Food, Desserts","Bellandur, Bangalore",400,3.6,0
A2B - Adyar Ananda Bhavan,"South Indian, North Indian, Street Food, Fast Food, Chinese","Sarjapur Road, Bangalore",150,,3
Purani Dilli By Anand Sweets,"Mithai, North Indian, Street Food, Fast Food, Ice Cream, Desserts, Beverages","Sarjapur Road, Bangalore",400,4.1,4
Natural Ice Cream,"Ice Cream, Beverages","Sarjapur Road, Bangalore",300,4.4,4
KFC,"Burger, Fast Food, Biryani, Desserts, Beverages","Total Mall, Sarjapur Road, Bangalore",400,2.9,2
Pizza Hut,"Pizza, Fast Food, Desserts, Beverages","Sarjapur Road, Bangalore",400,2.8,2
Empire Restaurant,"North Indian, Biryani, Kebab, Chinese, Beverages","Sarjapur Road, Bangalore",100,,3
Onesta,"Pizza, Pasta, Fast Food, Desserts, Beverages, Sandwich, North Indian","Sarjapur Road, Bangalore",200,,3
Leon Grill,"Burger, Fast Food, Wraps, Street Food, Desserts, Beverages","Bellandur, Bangalore",400,3.9,4
Five Star Chicken,"Wraps, Burger, Rolls, Fast Food, Street Food","Kadubeesanahalli, Bangalore",400,3.3,2
Kanti Sweets,"Mithai, Street Food, Desserts","Sarjapur Road, Bangalore",50,,0
Polar Bear,"Ice Cream, Beverages, Shake","Sarjapur Road, Bangalore",350,3.8,4
WOW! Momo,"Momos, Fast Food, Tibetan","Sarjapur Road, Bangalore",200,,3
Ovenstory Pizza,"Pizza, Desserts","Sarjapur Road, Bangalore",250,,3
Chicking,"Burger, Pizza, Fast Food","Sarjapur Road, Bangalore",200,,0
MOJO Pizza - 2X Toppings,"Pizza, Fast Food, Desserts, Beverages","Sarjapur Road, Bangalore",250,,0
Goli Vada Pav No. 1,"Street Food, Fast Food, Burger, Ice Cream, Desserts","Sarjapur Road, Bangalore",350,3.1,2
Nandhana Palace,"Biryani, Andhra, North Indian, Beverages, South Indian","Sarjapur Road, Bangalore",250,,0
FreshMenu,"Continental, North Indian, Biryani","Bellandur, Bangalore",200,,3
CakeZone,"Bakery, Desserts","Bellandur, Bangalore",300,,0
Samosa Party,"Fast Food, Beverages, Burger, Tea","Bellandur, Bangalore",100,,3
Subway,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps","Sarjapur Road, Bangalore",400,3.0,2
Kwality Wallâs Frozen Dessert and Ice Cream Shop,Ice Cream,"Sarjapur Road, Bangalore",100,,3
Biryani Trip,Biryani,"Sarjapur Road, Bangalore",250,,0
NIC - Natural Ice Creams,Ice Cream,"Bellandur, Bangalore",100,,3
Beijing Bites,"Chinese, Thai, Seafood, Healthy Food","Sarjapur Road, Bangalore",800,3.7,4
Dindigul Thalappakatti,"Biryani, North Indian, South Indian, Chinese, Beverages","Sarjapur Road, Bangalore",300,,0
Faasos - Wraps & Rolls,"North Indian, Desserts, Wraps, Beverages","Sarjapur Road, Bangalore",200,,3
EatFit,"Mithai, North Indian, Pizza, Burger, Fast Food, Street Food, Desserts, Beverages","Sarjapur Road, Bangalore",200,,3
WarmOven Cake & Desserts,"Bakery, Desserts","Sarjapur Road, Bangalore",350,,0
Chai Point,"Tea, Fast Food, North Indian, Beverages","Sarjapur Road, Bangalore",150,,0
Sharief Bhai,"Mughlai, Arabian, Afghan, Biryani, Kebab, Street Food, Beverages","Bellandur, Bangalore",150,,0
BOX8 - Desi Meals,"North Indian, Wraps, Fast Food, Biryani, Desserts, Beverages","Sarjapur Road, Bangalore",200,,0
Snack House,"North Indian, Chinese, Street Food, Momos, Rolls","Sarjapur Road, Bangalore",150,,0
Chaayos Chai+Snacks=Relax,Beverages,"Sarjapur Road, Bangalore",200,,3
Behrouz Biryani,"Biryani, Mughlai","Sarjapur Road, Bangalore",350,,3
Paradise Biryani,"Biryani, North Indian, Kebab","Sarjapur Road, Bangalore",350,,3
Mad Over Donuts,"Desserts, Beverages","Sarjapur Road, Bangalore",100,,3
Baskin Robbins,"Ice Cream, Desserts, Beverages","Bellandur, Bangalore",400,,0
Yumlane Pizza,"Pizza, Fast Food, Desserts, Beverages","Sarjapur Road, Bangalore",250,,3
California Burrito,"Mexican, Fast Food, Beverages, Desserts","Sarjapur Road, Bangalore",500,4.0,4
Rolls On Wheels,"Rolls, Chinese, North Indian","Sarjapur Road, Bangalore",300,3.1,2
Ice Corner,"Desserts, Ice Cream, Beverages, Shake","Sarjapur Road, Bangalore",100,,3
Smoor,"Bakery, Desserts","Bellandur, Bangalore",350,,3
Call Me Chow,"Chinese, Japanese, Thai, Indonesian, Asian","Sarjapur Road, Bangalore",200,,0
Zomoz - The Momo Company,"Momos, Fast Food","Sarjapur Road, Bangalore",200,,3
Starbucks Coffee,"Coffee, Desserts, Beverages","RMZ Ecoworld, Bellandur, Bangalore",600,3.8,4
Potful - Claypot Biryanis,"Biryani, Kebab, Mughlai, North Indian, Desserts, Beverages","Sarjapur Road, Bangalore",300,,0
Paratha Envy,North Indian,"Sarjapur Road, Bangalore",150,,0
Chaat Street,"Street Food, Beverages","Sarjapur Road, Bangalore",100,,3
Barbeque Nation,"BBQ, Mughlai, Biryani, North Indian, Desserts, Beverages","Sarjapur Road, Bangalore",1600,4.3,1
Kaati Zone Rolls And Wraps,"Rolls, Sandwich","Sarjapur Road, Bangalore",150,,0
Keventers - Milkshakes & Desserts,"Ice Cream, Desserts, Shake, Beverages","Sarjapur Road, Bangalore",250,,0
The Hangout,"Fast Food, Pizza, Mexican","Sarjapur Road, Bangalore",200,,3
Aromas Of Biryani,"Biryani, North Indian, Chinese, Mughlai, Kebab, Seafood, Ice Cream, Beverages","Sarjapur Road, Bangalore",800,3.9,4
ZAZA 22 Spice Biryani,"Biryani, Mughlai, North Indian","Sarjapur Road, Bangalore",200,,3
Cupcake Bliss Cakes & Desserts,"Bakery, Desserts","Sarjapur Road, Bangalore",300,,0
Absolute Shawarma,"Lebanese, Fast Food","Bellandur, Bangalore",150,,0
Juice Shop,"Shake, Ice Cream, Desserts, Beverages","Sarjapur Road, Bangalore",100,,0
Great Indian Khichdi,"Healthy Food, Beverages","Sarjapur Road, Bangalore",150,,3
The Dessert Zone,"Desserts, Bakery","Bellandur, Bangalore",200,,3
"Frozen Bottle - Milkshakes, Desserts and Ice Cream","Beverages, Desserts, Ice Cream, Waffle, Bakery, Healthy Food","Sarjapur Road, Bangalore",200,,0
LunchBox - Meals and Thalis,"North Indian, Healthy Food, Beverages, Chinese","Sarjapur Road, Bangalore",200,,3
Momo Monk,Momos,"Sarjapur Road, Bangalore",150,,3
Momo Zone - The Momo Company,"Momos, Fast Food","Sarjapur Road, Bangalore",150,,3
Chef Bakers,"Bakery, Fast Food, Pizza, Sandwich, Burger, Desserts","Bommasandra, Bangalore",100,,0
Chinese Wok - Wok Express,"Momos, Chinese","Sarjapur Road, Bangalore",200,,3
Biryani By Kilo,"Biryani, Mughlai, Kebab, Hyderabadi","Sarjapur Road, Bangalore",400,,3
The Biryani Life,"Fast Food, North Indian, Desserts, Beverages","Sarjapur Road, Bangalore",250,,3
Big Bowl Company,"North Indian, Chinese, Biryani, Fast Food, Momos","Sarjapur Road, Bangalore",200,,3
Aligarh House,"Biryani, North Indian, Kebab, Desserts, Beverages","Sarjapur Road, Bangalore",250,,3
Cafe Coffee Day,"Coffee, Fast Food, Desserts, Beverages","Bellandur, Bangalore",600,2.6,2
Ghee and Turmeric,North Indian,"Sarjapur Road, Bangalore",350,,3
Madurai Idly Shop,"South Indian, Chinese","Sarjapur Road, Bangalore",300,2.1,2
Sweet Truth - Cake and Desserts,Bakery,"Sarjapur Road, Bangalore",250,,3
Estaa Sweets,"Mithai, Street Food, Desserts","Sarjapur Road, Bangalore",300,3.5,0
Thalaivars Biryani,"Biryani, South Indian","Sarjapur Road, Bangalore",250,,3
XO Belgian Waffle,"Desserts, Beverages, Waffle, Shake","Sarjapur Road, Bangalore",400,4.0,4
Apsara Ice Creams,"Ice Cream, Desserts","Sarjapur Road, Bangalore",100,,3
Just Cakes,"Bakery, Desserts","Electronic City, Bangalore",100,,0
Indiana Burgers,Burger,"Sarjapur Road, Bangalore",200,,3
The ThickShake Factory,"Beverages, Desserts","Sarjapur Road, Bangalore",350,3.4,0
Itminaan Biryani - Dum Pukht,"Biryani, Mughlai, North Indian","Sarjapur Road, Bangalore",250,,3
Third Wave Coffee,"Coffee, Cafe, Beverages, Fast Food","Sarjapur Road, Bangalore",400,3.9,4
The Good Bowl,"North Indian, Mughlai","Sarjapur Road, Bangalore",200,,3
Brik Oven,"Pizza, Desserts","Sarjapur Road, Bangalore",300,,3
UBQ By Barbeque Nation,"North Indian, Kebab, BBQ, Biryani","Sarjapur Road, Bangalore",250,,3
LeanCrust Pizza - ThinCrust Experts,"Pizza, Fast Food, Beverages","Sarjapur Road, Bangalore",350,,3
Rampyari Chaiwala Netaji Bhajiawala,"Street Food, South Indian, Mithai","Sarjapur Road, Bangalore",150,3.2,2
SLAY Coffee,"Beverages, Coffee","Sarjapur Road, Bangalore",150,,3
The Brooklyn Creamery - Healthy Ice Cream,Ice Cream,"Sarjapur Road, Bangalore",200,,3
NH1 Bowls - Highway To North,"North Indian, Kebab, Desserts","Sarjapur Road, Bangalore",200,,3
Bullet Biryani,"Biryani, Kebab, Andhra","Sarjapur Road, Bangalore",150,,0
Lassi Corner,"Beverages, Desserts, Fast Food, Ice Cream, Shake","Sarjapur Road, Bangalore",250,3.7,0
Kachori Chowk,Street Food,"Sarjapur Road, Bangalore",100,,3
BigBites,"Street Food, Fast Food, Momos, North Indian","Sarjapur Road, Bangalore",200,,0
Rusbury Fresh Sweets And Savouries,"Mithai, Street Food","Bellandur, Bangalore",100,,3
Keventers Ice Cream,"Ice Cream, Desserts, Shake, Beverages","Sarjapur Road, Bangalore",200,,0
Bismillah Ambur Biryani Hotel,"Biryani, Fast Food, Kebab","Sarjapur Road, Bangalore",300,,0
Lo! - Low Carb And Keto Foods,"Healthy Food, North Indian, Fast Food, Desserts","Bellandur, Bangalore",150,,3
Firangi Bake,"Italian, Mexican, Desserts","Sarjapur Road, Bangalore",250,,3
Mealful Rolls - Meals In A Roll,"Rolls, Fast Food","Sarjapur Road, Bangalore",200,,3
Momo's Man & More,"Momos, Rolls","Electronic City, Bangalore",200,3.5,0
Sri Vishnu Grand,"South Indian, North Indian, Beverages, Shake","Electronic City, Bangalore",300,,0
Baker's Home Cakes & Desserts,"Bakery, Beverages","Kadubeesanahalli, Bangalore",400,,3
Zoey's,"Cafe, Italian, Burger, Fast Food, Desserts, Continental","Sarjapur Road, Bangalore",600,4.3,4
Wowffles,"Desserts, Waffle","Bellandur, Bangalore",150,,0
Food Court By Kitchens@,"North Indian, South Indian, Chinese, Mughlai, Biryani, Momos, Desserts, Beverages","Sarjapur Road, Bangalore",150,,3
The Momo Co.,"Chinese, Momos, Desserts, Beverages","Sarjapur Road, Bangalore",200,,3
Big Pitcher,"North Indian, Continental, Chinese, Mughlai, Fast Food, Desserts, Beverages","Sarjapur Road, Bangalore",1600,4.3,1
Bombay Kulfis,"Desserts, Ice Cream","Sarjapur Road, Bangalore",100,,0
Smoke House Deli,"Italian, Continental, Burger, Salad, Healthy Food, Pizza, Sandwich, Desserts","Sarjapur Road, Bangalore",400,,3
Kolkata Rolls & Fast Food,"Rolls, Fast Food, Chinese, North Indian, Biryani, Momos","HSR, Bangalore",300,3.0,2
Khichdi Express,North Indian,"Sarjapur Road, Bangalore",150,,3
Kouzina Kafe - The Food Court,"Fast Food, Bakery, Desserts","Sarjapur Road, Bangalore",200,,3
Southinn,"South Indian, North Indian, Fast Food, Beverages, Chinese","Sarjapur Road, Bangalore",400,2.7,2
The Baker's Dozen,"Bakery, Desserts","Bellandur, Bangalore",150,,3
Artinci - Indulge Guilt Free!,"Ice Cream, Desserts, Beverages","Sarjapur Road, Bangalore",150,,0
Paratha Box - 2X Filling,"North Indian, Desserts, Beverages","Sarjapur Road, Bangalore",150,,3
NOTO- Healthy ice cream,"Ice Cream, Desserts","Sarjapur Road, Bangalore",100,,3
Cupcake Noggins,"Bakery, Desserts","Sarjapur Road, Bangalore",400,3.4,2
ITC Master Chef Creations,"North Indian, Mughlai, Mediterranean, Desserts","Bellandur, Bangalore",350,,3
The Sugar Free Keto Kafe - By Artinci,"Desserts, Ice Cream, Bakery","Sarjapur Road, Bangalore",150,,3
Globo Ice Creams of the World,Ice Cream,"Sarjapur Road, Bangalore",100,,3
Nasi And Mee,"Asian, Indonesian, Momos, Japanese, Sushi","RMZ Ecoworld, Bellandur, Bangalore",1200,4.2,1
Pizza 997 AD,"Pizza, Fast Food, Desserts","Sarjapur Road, Bangalore",350,,3
New Udupi Dosa Camp,"South Indian, Street Food","Sarjapur Road, Bangalore",200,,0
Sundae Everyday Ice Creams,"Ice Cream, Shake","Sarjapur Road, Bangalore",150,,3
Home Plate by EatFit,"North Indian, Beverages","Sarjapur Road, Bangalore",150,,3
Bengali Bhuri Bhoj ,Bengali,"HSR, Bangalore",150,,3
ITC Sunfeast Baked Creations,"Bakery, Desserts, Sandwich","Sarjapur Road, Bangalore",250,,3
Paris Waffle Co,Desserts,"Bellandur, Bangalore",200,,3
Lassi Cafe,"Beverages, Street Food, Fast Food, North Indian, South Indian","HSR, Bangalore",350,3.8,0
Fabelle Chocolates,"Desserts, Bakery","Sarjapur Road, Bangalore",400,,3
Burger It Up,Burger,"Sarjapur Road, Bangalore",200,,3
The Dessert Corner,"Desserts, Bakery","Bellandur, Bangalore",150,,3
McCafe by McDonald's,"Coffee, Desserts, Beverages","Bellandur, Bangalore",150,,0
Slurpy Shakes,"Beverages, Burger, Fast Food, Bakery, Shake","Sarjapur Road, Bangalore",200,,3
Edesia by Freshmenu,"Bakery, Desserts","Bellandur, Bangalore",100,,3
89 Express Dhaba,North Indian,"HSR, Bangalore",250,3.7,0
Conti Club By Big Pitcher,"Rolls, Pizza, Fast Food, Desserts","Sarjapur Road, Bangalore",300,,3
The Biryani Zone - By Kouzina,Biryani,"Bommanahalli, Bangalore",200,,3
Magadhi Mewa,"North Indian, Street Food, Mithai, Desserts","Sarjapur Road, Bangalore",350,3.2,2
Canteen Central - Pizzas & Pastas,"North Indian, South Indian","Sarjapur Road, Bangalore",200,,3
Birbal Darbar,"North Indian, Chinese, Biryani, Beverages","Sarjapur Road, Bangalore",500,4.1,4
Galito's,"African, Burger, Fast Food, Beverages, Desserts","Sarjapur Road, Bangalore",500,4.0,4
Royal Bama Restaurant,"North Indian, South Indian, Fast Food, Mughlai, Chinese","Sarjapur Road, Bangalore",350,,0
Bellandur Shawarma Stall,"Lebanese, Beverages","Bellandur, Bangalore",250,,0
Piazza Pizza By Little Italy,"Pizza, Fast Food","Sarjapur Road, Bangalore",200,,3
Sweetfry,Fast Food,"HSR, Bangalore",350,,3
Fipola Grill House,Fast Food,"HSR, Bangalore",200,,0
Ammi's Biryani,"Biryani, Mughlai, Beverages, Desserts, Kebab","Sarjapur Road, Bangalore",200,,3
Shekhawati Restaurant,North Indian,"Sarjapur Road, Bangalore",300,3.5,0
Cakes Chikim,Bakery,"Sarjapur Road, Bangalore",100,,3
Amma Mess,"South Indian, Biryani, Kerala, Seafood","Sarjapur Road, Bangalore",350,3.5,3
Shudh Desi Bhukkad,"North Indian, Chinese, Biryani","HSR, Bangalore",200,,3
The Humble Pie,"Bakery, Desserts, Beverages","HSR, Bangalore",200,4.1,4
Mubaraka Dum Biriyani,"Biryani, North Indian","Bellandur, Bangalore",300,,0
Magma Cakes,"Bakery, Desserts, Shake","Kadubeesanahalli, Bangalore",400,,3
Melting Melodies,Bakery,"Bellandur, Bangalore",700,3.5,4
46 Ounces Brewgarden,"Chinese, North Indian, Italian, Beverages, Bengali, Desserts","Electronic City, Bangalore",1600,4.5,1
Brickizza Woodfire Pizza,"Fast Food, Pizza","Sarjapur Road, Bangalore",500,3.6,0
Rolls & Bowls Company,"Rolls, North Indian, Chinese, Fast Food","Sarjapur Road, Bangalore",250,,3
Pure Veg Meals By LunchBox,"North Indian, Shake","Sarjapur Road, Bangalore",200,,3
Cake Hopper,"Bakery, Beverages, Shake","Bellandur, Bangalore",200,,0
RS Donne Biryani & Natti Foods,"Biryani, South Indian","HSR, Bangalore",300,3.6,0
Grill Daddy,"American, Pizza, Burger, Steak, Sandwich, Continental, Beverages","Koramangala 1st Block, Bangalore",600,4.3,4
Heaven In A Jar,Desserts,"Koramangala 1st Block, Bangalore",150,,0
Creamvilla,"Cafe, Desserts, Ice Cream","Sarjapur Road, Bangalore",600,4.0,4
Sandwich Binge,"Sandwich, Fast Food, Beverages","Sarjapur Road, Bangalore",150,,0
Casa Fresco by Tea Brew,"Cafe, Continental, Italian, American, Momos, Burger, Beverages","HSR, Bangalore",800,,4
Ambur Biriyani,Biryani,"Bommanahalli, Bangalore",200,,0
Meal@79,"North Indian, Chinese","HSR, Bangalore",250,,3
Bidar Hyderabad Dum Biryani,"Biryani, North Indian","HSR, Bangalore",350,3.7,0
Dawath Restuarant,"North Indian, Biryani, Mughlai","Sarjapur Road, Bangalore",400,3.0,2
Lucknowee,"Awadhi, Kebab, Lucknowi, Mughlai, Rolls, Biryani, North Indian","Sarjapur Road, Bangalore",300,,3
Seven Ate Nine,"Modern Indian, South Indian, Pizza, Burger, Rolls, Shake","HSR, Bangalore",700,4.3,4
Golden China,"Chinese, North Indian","Koramangala 1st Block, Bangalore",300,4.0,0
Magadhi Mewa,"Mithai, Street Food","HSR, Bangalore",200,3.2,2
Soul Treat,"Bakery, Desserts, Healthy Food","Sarjapur Road, Bangalore",250,,3
The Burger Place,"Burger, Fast Food","Koramangala 1st Block, Bangalore",250,,0
Bearful,"North Indian, Biryani, Italian, Kebab, Chinese, Beverages, Desserts","Sarjapur Road, Bangalore",800,4.1,4
Dessert Studio By Third Wave,"Desserts, Bakery","Bellandur, Bangalore",250,,3
Snacks & Sundaes,"Fast Food, Sandwich, Street Food, Desserts, Coffee, Tea, Juices, Beverages","Sarjapur Road, Bangalore",150,,3
Pizza Fresh,"Fast Food, Pizza","Sarjapur Road, Bangalore",150,,3
Darjeeling Wow Momos,"Momos, Fast Food","Sarjapur Road, Bangalore",250,,0
Waffl'd,"Desserts, Shake, Bakery, Waffle, Ice Cream","Koramangala 1st Block, Bangalore",150,,0
Burger House,"Burger, Fast Food, Sandwich, Pizza, Shake","Sarjapur Road, Bangalore",150,,3
Five Star Chicken,Fast Food,"Sarjapur Road, Bangalore",250,,0
Fried Cheese,"Burger, Fast Food","Koramangala 1st Block, Bangalore",200,,3
Hello Millet,"South Indian, North Indian, Biryani, Chinese, Juices","Bellandur, Bangalore",100,,3
Urban Chaupal ,North Indian,"Sarjapur Road, Bangalore",350,3.6,0
Paratha Corner,"North Indian, Chinese","Sarjapur Road, Bangalore",100,,3
Indian Cafe Restaurant,"Chinese, North Indian, Mughlai","Koramangala 1st Block, Bangalore",300,3.3,2
Gelato Factory,"Desserts, Ice Cream","HSR, Bangalore",200,3.7,0
Anapoorna Andhra Style,"Beverages, South Indian, Fast Food","HSR, Bangalore",300,,0
Malabar Mess,"Kerala, South Indian, Seafood, Biryani","Sarjapur Road, Bangalore",250,3.3,2
The Green House,"Salad, Sandwich, Beverages","HSR, Bangalore",100,,0
Chow Panda By Big Pitcher,"North Indian, Fast Food, South American, Italian, Desserts","Sarjapur Road, Bangalore",250,,3
Feeding Flocks,Fast Food,"Sarjapur Road, Bangalore",200,,3
Khanna's,North Indian,"Sarjapur Road, Bangalore",400,3.9,4
Paan Culture,Paan,"Koramangala 1st Block, Bangalore",50,,0
Golden Sidra Hotel,"Kebab, Mughlai, North Indian, Chinese, Biryani, Beverages","HSR, Bangalore",800,3.7,4
Juice & Lassi Bar,"Beverages, Desserts, Fast Food, Shake","HSR, Bangalore",300,,0
Abbabi Chicken,"Fast Food, Shake","Bellandur, Bangalore",200,3.7,0
Shree Saraswathi Sweets Centre,Mithai,"Koramangala 1st Block, Bangalore",50,,0
Bikaner Sweet Centre,"Street Food, Mithai","Koramangala 1st Block, Bangalore",50,,0
Aha Ruchi,"South Indian, Seafood, Kerala","HSR, Bangalore",450,3.5,0
The Flying Cup,"Fast Food, North Indian, Street Food, Beverages, Shake","Bellandur, Bangalore",400,4.0,4
Flavours Of Bengali,"Bengali, Biryani, North Indian, Chinese","HSR, Bangalore",500,3.9,4
Bowl Soul,"Fast Food, Beverages","Bellandur, Bangalore",250,,3
Kolkata Famous Kati Roll,Rolls,"Sarjapur Road, Bangalore",100,,3
Biriyani Adda,"North Indian, Mughlai, Chinese","Bellandur, Bangalore",400,3.3,2
You Me And Tea,"North Indian, Chinese, Fast Food, Street Food, Sandwich, Beverages","HSR, Bangalore",400,4.0,4
Lubov Patisserie By Frozen Bottle,"Desserts, Bakery","Sarjapur Road, Bangalore",200,,3
Biryani Rooh-e-Khaas,"Biryani, Mughlai, Desserts","HSR, Bangalore",200,,3
Amaravathi Multi Cuisine,"Biryani, Chinese, North Indian","HSR, Bangalore",300,,0
Rice Stick,"Chinese, Thai","Sarjapur Road, Bangalore",500,,4
Natural Sugarcane Juice,"Beverages, Juices","HSR, Bangalore",50,,3
Khana Bandwidth ,"North Indian, Chinese","Sarjapur Road, Bangalore",300,3.9,4
Masala Darbar By Big Pitcher,"North Indian, Mughlai, Biryani, Desserts","Sarjapur Road, Bangalore",300,,3
Rural Blues,"North Indian, Asian, Finger Food, Continental, Italian, Bar Food","Sarjapur Road, Bangalore",1000,4.4,1
Desi Tea Time,"Beverages, Juices, Fast Food, Ice Cream, Desserts, Shake","Koramangala 1st Block, Bangalore",50,,0
V Cafe- Meals By PVR,"Fast Food, Street Food","Bellandur, Bangalore",250,,3
Prowl Foods By Tiger Shroff,"Healthy Food, Sandwich, Rolls, Continental, Asian","Sarjapur Road, Bangalore",350,,3
Chinese Lake,Chinese,"HSR, Bangalore",300,,3
Sultan Ki Sarai,"North Indian, Chinese","Bellandur, Bangalore",200,,3
New Shiva Sagar,"South Indian, Chinese","Sarjapur Road, Bangalore",200,,0
Boho,"Continental, Asian, American, Mexican, Beverages, Desserts","Koramangala 5th Block, Bangalore",1700,4.2,1
Fries Box,Fast Food,"HSR, Bangalore",300,,0
Big Biriyani Company,"Biryani, North Indian, Mughlai","Bellandur, Bangalore",150,,3
Too Much Chutney,"South Indian, Beverages","HSR, Bangalore",300,3.8,0
Brunch Hub,"North Indian, South Indian","Bellandur, Bangalore",100,,0
Tipsy Bull - The Bar Exchange,"North Indian, Chinese, Continental, Mexican","Bellandur, Bangalore",1200,4.3,1
Roots,"North Indian, South Indian, Chinese, Continental, Mangalorean, Shake","Koramangala 1st Block, Bangalore",1300,4.6,1
Shree Khana Khazana,"North Indian, Chinese","HSR, Bangalore",400,4.0,4
Andhra Spicy Kitchen,"North Indian, Mughlai, Hyderabadi, Chinese","Sarjapur Road, Bangalore",200,,3
Sri Venkatashwara Hot Chips ,Street Food,"Sarjapur Road, Bangalore",50,,0
Coastal Creamery,"Ice Cream, Juices, Shake, Fast Food","HSR, Bangalore",300,3.9,4
Curry On Tikka,"North Indian, Mughlai, Fast Food, Beverages","Sarjapur Road, Bangalore",250,,0
Sri Jaganath Foods,"North Indian, Chinese, Odia, Biryani, Kebab","Sarjapur Road, Bangalore",500,,4
Sri Jaganath Restaurant,"North Indian, Chinese, Odia, Biryani","Sarjapur Road, Bangalore",500,,4
Hunan,Asian,"Bellandur, Bangalore",350,,3
Matka Kulfi,"Ice Cream, Desserts","HSR, Bangalore",100,,0
Halli Mane,South Indian,"Sarjapur Road, Bangalore",200,,0
La Roi,"Bakery, Desserts","HSR, Bangalore",250,3.8,0
Bellandure Kitchen,"Continental, North Indian, South Indian, Chinese","Bellandur, Bangalore",200,,3
Melaange Foods,"Continental, Salad","Bellandur, Bangalore",200,,0
The Red Ginger Express,"Sushi, Chinese","Sarjapur Road, Bangalore",1400,2.6,2
Paneer Shaneer,North Indian,"HSR, Bangalore",200,,3
Hello Sandwich,"Fast Food, Sandwich","Bellandur, Bangalore",100,,3
Gramin Litti Adda | GLA,"Bihari, North Indian, Desserts, Beverages","HSR, Bangalore",550,3.8,4
Samosa Point,"Street Food, Beverages","HSR, Bangalore",100,3.4,0
Juice And Ice Pub,"Sandwich, Fast Food, Desserts, Shake","Sarjapur Road, Bangalore",50,,0
Sri Sai Rotti Mane,South Indian,"Kadubeesanahalli, Bangalore",250,,3
Bangalore Local,"South Indian, Mughlai, Desserts, Juices, Beverages","Sarjapur Road, Bangalore",150,,0
Bangalore Bakers,"Bakery, Desserts","Electronic City, Bangalore",100,,3
EL AFC Arabian Fried Chicken,"Fast Food, Pizza, Desserts, Beverages, Burger, Shake","HSR, Bangalore",300,,0
Fresh Sugarcane Juice,"Beverages, Street Food","Sarjapur Road, Bangalore",50,,0
Myfroyoland,"Frozen Yogurt, Desserts","HSR, Bangalore",250,,0
Burger Fresh ,"Burger, Sandwich, Pizza, Fast Food, Shake","Sarjapur Road, Bangalore",200,,3
Mangalore Chef,"South Indian, Andhra, Seafood, Chinese","HSR, Bangalore",300,,3
Homely MealBox,"Chinese, North Indian","Koramangala 1st Block, Bangalore",150,,3
Cravoury,"Bakery, Desserts","Sarjapur Road, Bangalore",450,,3
Season 1971,"Continental, Pasta, Burger, Desserts, Fast Food","HSR, Bangalore",500,2.8,2
